Address,Square ft,Sale Date,Price,Beds,Baths
"2817 Whiting Ave, Charlotte, NC 28205","1,916",Sold 06/21/2022,"$725,000",3,4
"3100 N Myers St, Charlotte, NC 28205","1,309",Sold 06/17/2022,"$550,000",2,2
"3510 Card St, Charlotte, NC 28205","3,014",Sold 06/17/2022,"$871,250",5,4
"1017 Pierre Dr, Charlotte, NC 28205","1,476",Sold 06/17/2022,"$478,500",2,3
"937 E 36th St, Charlotte, NC 28205","2,098",Sold 06/17/2022,"$585,000",3,4
"435 Steel Gardens Blvd, Charlotte, NC 28205","1,648",Sold 06/15/2022,"$490,000",2,3
"3566 Warp St, Charlotte, NC 28205","1,314",Sold 06/08/2022,"$393,000",2,3
"815 Woodside Ave, Charlotte, NC 28205",930,Sold 06/07/2022,"$365,000",2,1
"3101 N Alexander St, Charlotte, NC 28205","2,268",Sold 06/03/2022,"$890,000",4,3
"3953 Picasso Ct, Charlotte, NC 28205","1,005",Sold 06/01/2022,"$316,000",2,2
"921 E 35th St, Charlotte, NC 28205","3,433",Sold 06/01/2022,$1.20M,4,3
"1153 Charles Ave, Charlotte, NC 28205","2,317",Sold 05/31/2022,"$800,000",3,4
"3425 Spencer St, Charlotte, NC 28205","1,536",Sold 05/26/2022,"$412,000",3,1.5
"852 Academy St, Charlotte, NC 28205","1,138",Sold 05/26/2022,"$385,000",2,1
"518 Donatello Ave, Charlotte, NC 28205","1,330",Sold 05/25/2022,"$371,000",2,3
"626 Raphael Pl, Charlotte, NC 28205","1,312",Sold 05/24/2022,"$398,000",2,3
"3646 Card St, Charlotte, NC 28205","1,679",Sold 05/19/2022,"$391,000",3,2.5
"3415 Steel Yard Ct, Charlotte, NC 28205","1,716",Sold 05/18/2022,"$471,000",3,3
"4017 Spencer Towns Ln, Charlotte, NC 28205","2,041",Sold 05/18/2022,"$555,000",3,3.5
"825 Herrin Ave, Charlotte, NC 28205","1,726",Sold 05/16/2022,"$405,000",3,2
"810 E 37th St, Charlotte, NC 28205","2,132",Sold 05/11/2022,"$835,000",4,3
"3576 Artists Way, Charlotte, NC 28205","1,061",Sold 05/11/2022,"$374,995",2,2
"3285 Noda Blvd, Charlotte, NC 28205","1,133",Sold 05/10/2022,"$385,000",3,2
"4013 Spencer Towns Ln, Charlotte, NC 28205","1,992",Sold 05/09/2022,"$584,500",3,4
"511 E 37th St, Charlotte, NC 28205","1,064",Sold 05/06/2022,"$400,000",3,1
"3613 Artists Way, Charlotte, NC 28205","1,272",Sold 05/05/2022,"$362,000",2,2.5
"3613 Artists Way #122, Charlotte, NC 28205","1,249",Sold 05/05/2022,"$362,000",2,3
"1025 Charles Ave, Charlotte, NC 28205","1,831",Sold 05/03/2022,"$695,000",3,3
"3441 Steel Yard Ct, Charlotte, NC 28205","1,624",Sold 05/03/2022,"$430,000",2,2
